policy,seed,epoch,quota,coverage_mean,coverage_p10,coverage_p90,epsilon_mean,epsilon_p90,n_anchors
hybrid,42,1,23,0.6098814807225281,0.5067671818062472,0.7606713259881881,0.5070290695482886,0.6797035916826266,2048
hybrid,42,2,23,0.6883293404314104,0.5989739873470045,0.8359337562638086,0.508449954953927,0.6798291610995626,2048
hybrid,42,3,23,0.7368589768528075,0.6543823869918686,0.8535821710725411,0.507483140359241,0.6735180901228134,2048
hybrid,42,4,23,0.771515105370369,0.6949993733760237,0.8679918494959437,0.5072511798825431,0.6772723407074879,2048
hybrid,42,5,23,0.7971275950653816,0.727211322796034,0.8805143619723887,0.5069831349086793,0.6760266166010703,2048
hybrid,43,1,23,0.6096414443983638,0.5072063479229992,0.7597617074940256,0.5072482462906011,0.678837360886537,2048
hybrid,43,2,23,0.687910419077005,0.5948413023269128,0.8319248700892536,0.5087361114548468,0.6821148560289897,2048
hybrid,43,3,23,0.7367993620460421,0.6537249664010144,0.8525860526741883,0.5084922705321305,0.6793323663918318,2048
hybrid,43,4,23,0.770849382245614,0.693917691519235,0.8682712778408158,0.5080303096499105,0.6792989061036706,2048
hybrid,43,5,23,0.7962655698731078,0.7250061103184894,0.8798903044374662,0.5089484863375825,0.6774536730290328,2048
hybrid,44,1,23,0.6093455522211259,0.5053076150545148,0.7590855616073554,0.507768242521996,0.682587896918323,2048
hybrid,44,2,23,0.687800389252595,0.5967584964368664,0.8335508370464332,0.5065631545062226,0.679169442795025,2048
hybrid,44,3,23,0.7377821499477473,0.6514784432761778,0.8551059010867872,0.5085149393337125,0.6769083602410324,2048
hybrid,44,4,23,0.7720825380065787,0.6937714077647532,0.8697989386369661,0.5074630566166874,0.6813431009943701,2048
hybrid,44,5,23,0.7971120598685657,0.7248456299416499,0.8803828620985606,0.5085749730771685,0.6789429751234396,2048
topk,42,1,23,0.6989016034052904,0.6076712307527584,0.8474826048036473,0.3654001091828436,0.49812128662310406,2048
topk,42,2,23,0.6989016034052904,0.6076712307527584,0.8474826048036473,0.3654001091828436,0.49812128662310406,2048
topk,42,3,23,0.6989016034052904,0.6076712307527584,0.8474826048036473,0.3654001091828436,0.49812128662310406,2048
topk,42,4,23,0.6989016034052904,0.6076712307527584,0.8474826048036473,0.3654001091828436,0.49812128662310406,2048
topk,42,5,23,0.6989016034052904,0.6076712307527584,0.8474826048036473,0.3654001091828436,0.49812128662310406,2048
topk,43,1,23,0.6989016034052904,0.6076712307527584,0.8474826048036473,0.3654001091828436,0.49812128662310406,2048
topk,43,2,23,0.6989016034052904,0.6076712307527584,0.8474826048036473,0.3654001091828436,0.49812128662310406,2048
topk,43,3,23,0.6989016034052904,0.6076712307527584,0.8474826048036473,0.3654001091828436,0.49812128662310406,2048
topk,43,4,23,0.6989016034052904,0.6076712307527584,0.8474826048036473,0.3654001091828436,0.49812128662310406,2048
topk,43,5,23,0.6989016034052904,0.6076712307527584,0.8474826048036473,0.3654001091828436,0.49812128662310406,2048
topk,44,1,23,0.6989016034052904,0.6076712307527584,0.8474826048036473,0.3654001091828436,0.49812128662310406,2048
topk,44,2,23,0.6989016034052904,0.6076712307527584,0.8474826048036473,0.3654001091828436,0.49812128662310406,2048
topk,44,3,23,0.6989016034052904,0.6076712307527584,0.8474826048036473,0.3654001091828436,0.49812128662310406,2048
topk,44,4,23,0.6989016034052904,0.6076712307527584,0.8474826048036473,0.3654001091828436,0.49812128662310406,2048
topk,44,5,23,0.6989016034052904,0.6076712307527584,0.8474826048036473,0.3654001091828436,0.49812128662310406,2048
proportional,42,1,23,0.5539282920560495,0.4383111632089789,0.6969621354312926,0.6090725834236532,0.8248262029106456,2048
proportional,42,2,23,0.6804141227687367,0.5856212051985861,0.828567056264192,0.6120826618432207,0.8291380138110042,2048
proportional,42,3,23,0.7447096230589046,0.658351742517869,0.8592488964159878,0.6097390173083014,0.824781956596602,2048
