pair,ablation,arm,seed,graph_key,wall_clock_s,extra_args,save_dir,sts_avg,pair_avg,cls_avg,avg,avg_in,avg_out,emotion,wic,stsb,banking77,tweet,mrpc,scitail,sick,sts12,teacher_weighted_distortion,teacher_student_spearman,cosine_rmse,anisotropy,effective_rank,uniformity,encoded_texts_cum,encoded_tokens_cum,peak_memory_mb,loss,loss_rel,loss_row,row_exposed_mass,run_id,git_sha,git_dirty,gpu,support_policy,relation_target,use_ambient,knn_mode,row_weight,diffusion_scales,diffusion_quota,hard_neg_k,random_neg_k,direct_temp,learning_rate,policy
qwen3_0_6b_to_minilmv2_h384,g1,symmetrized,42,symmetrized,399,--knn_mode symmetrized,runs/ablation/qwen3_0_6b_to_minilmv2_h384/g1/symmetrized/seed42,74.64414796329756,76.66804555794678,74.471060991843,75.26108483769578,68.97,78.41,64.19331484969538,65.38223689196339,77.33517566069936,88.48206538816534,70.7378027376683,82.69285392012257,81.92904586175437,73.71275857969596,72.8845096494973,0.022910434752702713,0.8099615086397749,0.1721261888742447,0.47417473793029785,233.9164717477465,-1.9753789901733398,4849784,74584190,723.796875,1.3556896193897554,0.5852414039073962,0.7704482160473322,0.559689471224473,20260902-191019-84a957,,,NVIDIA H200,hybrid,diffusion,True,symmetrized,1.0,"[1, 2, 4]",25,40,26,0.1,3e-05,hybrid
qwen3_0_6b_to_minilmv2_h384,n1,all_hard,42,base,348,--hard_neg_k 66 --random_neg_k 0,runs/ablation/qwen3_0_6b_to_minilmv2_h384/n1/all_hard/seed42,74.75755617240922,76.73887502512487,73.93914765324526,75.14519295025978,68.79,78.32,62.99485917532951,65.88863650575006,77.48628179001629,88.09562647195695,70.72695731244933,82.17033513096528,82.15765343865928,73.97112890998837,72.81525781722304,0.01950284093618393,0.7884806201393454,0.15745213627815247,0.4580551087856293,231.61943755959157,-2.0511293411254883,4351605,63092894,469.43017578125,1.0803733685570305,0.6781142820114208,0.4022590888055015,0.5123678574347383,20260902-191658-262e55,,,NVIDIA H200,hybrid,diffusion,True,mutual,1.0,"[1, 2, 4]",23,66,0,0.1,3e-05,hybrid
qwen3_0_6b_to_minilmv2_h384,n1,all_uniform,42,base,331,--hard_neg_k 0 --random_neg_k 66,runs/ablation/qwen3_0_6b_to_minilmv2_h384/n1/all_uniform/seed42,75.09594022826145,76.92782963934037,73.5417855230037,75.18851846353519,68.29,78.64,61.721316711446995,65.6015094140938,77.55546961780232,88.17776700187561,70.7262728556885,82.66777548375669,82.51420402017065,74.25025958480997,73.4820914821721,0.02091568522155285,0.8310648120779028,0.15467792749404907,0.4551019072532654,230.10679902666396,-2.039252996444702,4961295,79010079,470.40771484375,0.9362975740319744,0.5449264878627813,0.3913710839093014,0.496759083033738,20260902-192246-fb87cd,,,NVIDIA H200,hybrid,diffusion,True,mutual,1.0,"[1, 2, 4]",23,0,66,0.1,3e-05,hybrid
qwen3_0_6b_to_minilmv2_h384,s1,batch_local,42,base,143,--batch_local --row_weight 0,runs/ablation/qwen3_0_6b_to_minilmv2_h384/s1/batch_local/seed42,65.90665039497746,74.97660923977371,71.92611580428284,70.93645847967801,63.09,74.86,57.65650366059042,65.40599360782777,66.20299992123476,86.45374070850157,71.66810304375653,82.15629561203014,77.36753849946321,67.126409079741,64.39054218395664,0.08244335651397705,0.8767998082602423,0.3332749009132385,0.6477851867675781,224.90271980735216,-1.3245075941085815,135040,2221498,464.00830078125,0.11624584746021795,0.11624584746021795,0.0,0.0,20260902-164052-1ddd44,,,NVIDIA H200,hybrid,ambient_only,True,mutual,0.0,"[1, 2, 4]",23,40,26,0.1,3e-05,batch_local
qwen3_0_6b_to_minilmv2_h384,s1,batch_local,43,base,147,--batch_local --row_weight 0,runs/ablation/qwen3_0_6b_to_minilmv2_h384/s1/batch_local/seed43,65.78886795219871,74.67814362736084,72.0687380398492,70.84524987313625,63.04,74.75,57.885387676984244,65.14975440424884,66.08132070303887,86.51421258071377,71.80661386184956,82.19191051406949,76.6927659637642,67.30449602961458,63.980787123942704,0.08537957072257996,0.8768190959517634,0.3402054011821747,0.6547983884811401,224.6657933399733,-1.298067569732666,135040,2221144,465.38330078125,0.11576234976544765,0.11576234976544765,0.0,0.0,20260902-170535-e9ac5e,,,NVIDIA H200,hybrid,ambient_only,True,mutual,0.0,"[1, 2, 4]",23,40,26,0.1,3e-05,batch_local
qwen3_0_6b_to_minilmv2_h384,s1,batch_local,44,base,146,--batch_local --row_weight 0,runs/ablation/qwen3_0_6b_to_minilmv2_h384/s1/batch_local/seed44,66.34714710667835,74.88433955283419,72.11942332433053,71.11696999461435,63.2,75.07,57.85819126324389,65.37942155244713,66.36651699378953,86.48438301463224,72.01569569511543,82.25906441235001,77.01453269370543,67.81421856023402,64.86070576601146,0.08341753482818604,0.8769803027519576,0.3352408707141876,0.6497809886932373,224.30942189643125,-1.3160653114318848,135040,2221520,462.88330078125,0.11474932525395216,0.11474932525395216,0.0,0.0,20260902-173125-4dddb4,,,NVIDIA H200,hybrid,ambient_only,True,mutual,0.0,"[1, 2, 4]",23,40,26,0.1,3e-05,batch_local
qwen3_0_6b_to_minilmv2_h384,s1,proportional,42,base,329,--support_policy proportional,runs/ablation/qwen3_0_6b_to_minilmv2_h384/s1/proportional/seed42,74.871137013964,76.92522420511423,73.49231874063763,75.09622665323862,68.41,78.44,61.876617961755684,65.87295454881924,77.48095115469806,88.02057018050193,70.57976807965525,82.39340744487154,82.50931062165192,74.17134388697039,72.96111600022357,0.019590122625231743,0.8058264977979719,0.15442804992198944,0.45511192083358765,231.00871534422058,-2.0555012226104736,4691271,70903313,469.75830078125,1.0867002210910852,0.6757688485615626,0.4109313762018466,0.4869325577647765,20260902-162940-b8bfa5,,,NVIDIA H200,proportional,diffusion,True,mutual,1.0,"[1, 2, 4]",23,40,26,0.1,3e-05,proportional
qwen3_0_6b_to_minilmv2_h384,s1,proportional,43,base,296,--support_policy proportional,runs/ablation/qwen3_0_6b_to_minilmv2_h384/s1/proportional/seed43,74.76239268642888,76.8374108321657,73.97173650563214,75.19051334140892,68.81,78.38,63.30132784539765,65.71600233687921,77.40461420712037,88.05690490644812,70.55697676505063,82.44846294220174,82.34776721741612,73.87079417328223,73.01176967888404,0.018795020878314972,0.8052681858912426,0.15097397565841675,0.4512529671192169,231.1789976152995,-2.071773052215576,4689013,70894106,469.78759765625,1.0852093216367242,0.6754005362072262,0.4098087851470116,0.48714276569149506,20260902-165441-d890b4,,,NVIDIA H200,proportional,diffusion,True,mutual,1.0,"[1, 2, 4]",23,40,26,0.1,3e-05,proportional
qwen3_0_6b_to_minilmv2_h384,s1,proportional,44,base,342,--support_policy proportional,runs/ablation/qwen3_0_6b_to_minilmv2_h384/s1/proportional/seed44,74.8707513491406,76.91300863070153,73.39456685246978,75.05944227743731,68.25,78.46,61.35366789947505,65.86310962879283,77.5304075870933,88.1892173835336,70.64081527440068,82.39199921782887,82.4839170454829,74.05051414619801,73.03133231413051,0.018941141664981842,0.8072417637058611,0.15105827152729034,0.4514341950416565,231.36393612173543,-2.0693821907043457,4690533,70942207,470.74267578125,1.0839945515750145,0.6739498261026862,0.4100447273084903,0.4867560506149491,20260902-171938-dcd2e9,,,NVIDIA H200,proportional,diffusion,True,mutual,1.0,"[1, 2, 4]",23,40,26,0.1,3e-05,proportional
qwen3_0_6b_to_minilmv2_h384,s1,topk,42,base,346,--support_policy topk,runs/ablation/qwen3_0_6b_to_minilmv2_h384/s1/topk/seed42,75.00527774102086,76.85041608777932,73.69010373647961,75.18193252175995,68.53,78.51,62.334341211729026,65.68208275620636,77.58308073090275,88.18300456603646,70.55296543167334,82.36765821826062,82.501507288871,73.93719391866068,73.49555857349918,0.018273215740919113,0.8053560085680249,0.148717999458313,0.44753506779670715,231.7334333637896,-2.079390048980713,4673786,70318074,470.47802734375,0.9520531276955989,0.582756536831788,0.36929659029883793,0.594782301882432,20260902-162354-f69852,,,NVIDIA H200,topk,diffusion,True,mutual,1.0,"[1, 2, 4]",23,40,26,0.1,3e-05,topk
